Maturity,Price
0.083333333,99.73
0.333333333,98.79
0.583333333,97.87
0.833333333,97.21
1.083333333,96.33
1.333333333,95.48
1.583333333,94.52
1.833333333,93.69
2.083333333,92.86
2.333333333,92
2.583333333,91.16
2.833333333,90.31
3.083333333,89.48
3.333333333,88.64
3.583333333,87.67
3.833333333,87
4.083333333,86.14
4.333333333,85.12
4.583333333,84.41
4.833333333,83.41
5.083333333,82.71
5.333333333,81.77
5.583333333,81.07
5.833333333,79.57
6.083333333,78.68
6.333333333,77.69
6.583333333,76.79
6.833333333,75.86
7.083333333,74.91
7.333333333,74.02
7.583333333,73.11
7.833333333,72.26
8.083333333,71.41
8.333333333,70.5
8.583333333,69.71
8.833333333,68.91
9.083333333,68.02
9.333333333,67.2
9.583333333,66.41
9.833333333,65.66
10.08333333,64.88
10.33333333,64.04
10.58333333,63.18
10.83333333,62.46
11.08333333,61.64
11.33333333,60.79
11.58333333,59.93
11.83333333,59.21
12.08333333,58.43
12.33333333,57.66
12.58333333,56.87
12.83333333,56.24
13.08333333,55.5
13.33333333,54.75
13.58333333,53.9
13.83333333,53.26
14.08333333,52.58
14.33333333,51.91
14.58333333,51.28
14.83333333,50.65
15.08333333,50.03
15.33333333,49.29
15.58333333,48.69
15.83333333,48
16.08333333,47.38
16.33333333,46.81
16.58333333,46.19
16.83333333,45.53
17.08333333,44.99
17.33333333,44.41
17.58333333,43.87
17.83333333,43.35
18.08333333,42.79
18.33333333,42.31
18.58333333,41.81
18.83333333,41.33
19.08333333,40.83
19.33333333,40.35
19.58333333,39.88
19.83333333,39.45
20.08333333,38.98
20.33333333,38.51
20.58333333,38.03
20.83333333,37.65
21.08333333,37.25
21.33333333,36.79
21.58333333,36.38
21.83333333,36.07
22.08333333,35.57
22.33333333,35.17
22.58333333,34.94
22.83333333,34.45
23.08333333,34.06
23.33333333,33.71
23.58333333,33.34
23.83333333,33.16
24.08333333,33.01
24.33333333,32.41
24.58333333,32.14
24.83333333,31.94
25.08333333,31.54
25.33333333,31.11
25.58333333,30.77
